Brand,Model,Color,Retail_Price,Release_Date,Price_Premium,Avg_Sale_Price,Date_of_Sale,Time_of_Sale,Sneaker_Size,Sale_Price
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,8:37 AM EST,10.5,210.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-08 00:00:00,8:36 AM EST,9.5,282.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-07 00:00:00,3:48 PM EST,8.5,250.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-05 00:00:00,10:53 AM EST,11.0,201.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-04 00:00:00,4:36 PM EST,7.5,195.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-04 00:00:00,3:00 PM EST,7.5,260.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-04 00:00:00,1:45 PM EST,12.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-04 00:00:00,11:29 AM EST,13.0,200.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-04 00:00:00,8:26 AM EST,10.5,198.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-03 00:00:00,7:27 PM EST,13.0,267.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-03 00:00:00,6:54 PM EST,11.5,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-02 00:00:00,10:03 PM EST,9.5,220.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-02 00:00:00,6:34 PM EST,12.0,235.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-02 00:00:00,11:01 AM EST,11.5,185.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-01-02 00:00:00,8:28 AM EST,10.5,318.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2017-12-31 00:00:00,1:41 PM EST,7.5,251.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2017-12-30 00:00:00,12:19 PM EST,11.0,185.0
